Candidate;Description;BlockTime;retweet_favorite_count;RunningFor
Henrique Meirelles;@jovidemiranda João, qual o nome da sua avó? Queremos mandar um agradecimento especial pra ela aqui! 💪1⃣5⃣  #VoteMeirelles15 #EquipeHM;2018/10/02 19:33:13;;123
Manuela;@DonSergiones Obrigada pelo apoio. #equipe https://t.co/ik18f0tThP;2018/09/14 00:25:11;;123
NOVO 30;@_hercules_k @ASCampos_77 @joaoamoedonovo @pauloganime3030 @mtrindadenovo Não tem candidato a senador do NOVO no Rio de Janeiro.;2018/09/12 03:12:45;;123
Manuela;Uma semana para o Brasil ser feliz de novo! #HaddadPresidente #ManuNoJaburu https://t.co/VboNILrcti;2018/09/30 10:00:01;;123
PT Brasil;Foram 18 universidades criadas pelo Lula e pelo PT, ampliando o acesso à educação no Brasil. #HaddadÉLulaNaTV https://t.co/ti5kZJf2Sa;2018/09/21 05:05:03;;123
Henrique Meirelles;@Walther_Obeto A #EquipeHM pede desculpas Walther! Outras oportunidades virão. Enquanto isso, compartilhe o conteúdo e chame os amigos para saberem mais sobre Meirelles! Vamos para cima! #ChamaOMeirelles15 #EquipeHM #VoteMeirelles15;2018/09/19 18:48:12;;123
Alvaro Dias;"✅ Desburocratizar o Brasil
✅ Isenção de Imposto de Renda para quem ganha até R$ 5.000,00

Abre o 👁 Brasil 🇧🇷 #AlvaroDias19 https://t.co/L4ehwLE7Ka";2018/09/21 23:29:04;;123
Henrique Meirelles;@Andr65671616 Com Meirelles no Banco Central, 40 milhões de brasileiros saíram da pobreza. Diminuir a desigualdade e acabar com os privilégios de quem ganha muito, para garantir o benefício de quem precisa. Essa é a reforma que Meirelles defende. #ChamaOMeirelles #EquipeHM #Meirelles15;2018/09/05 10:57:43;;123
Marina Silva;💚 Começou o #DebateSBT https://t.co/YrowpKYzPq;2018/09/26 20:47:50;;123
Sonia Guajajara 50;"Nossa candidatura é uma expressão de uma aliança de vários movimentos juntos. E concluímos que não é possível implementar nenhuma política pública se não revogarmos essa PEC. Como vamos melhorar as pesquisas, o investimento em ciência e tecnologia? 
https://t.co/GZkRTCRQwy";2018/09/26 18:14:56;;123
Partido Social Liberal - PSL;"""A narrativa agora é que eu perderia, no segundo turno, para qualquer um. (...) Não é perder no voto é perder na fraude"" - @jairbolsonaro #Dia7é17";2018/09/16 20:10:50;;123
Manuela;@UJSBRASIL 👊❤️;2018/09/18 22:56:20;;123
PT Brasil;#AOVIVO | Fernando Haddad, Manuela D'Avila e Miguel Rossetto no trem a caminho de Porto Alegre. https://t.co/yzFLgh9602;2018/09/27 20:48:46;;123
